DateTime,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SYMBOL
2018-06-07,8.06,8.15,7.41,7.66,7.66,8993866,0.0,1.0,CRON
2018-06-06,7.1,7.93,6.93,7.93,7.93,10186761,0.0,1.0,CRON
2018-06-05,7.06,7.15,6.751,6.99,6.99,4523111,0.0,1.0,CRON
2018-06-04,6.91,7.15,6.68,7.0,7.0,6192600,0.0,1.0,CRON
2018-06-01,6.29,6.84,6.21,6.84,6.84,3420372,0.0,1.0,CRON
2018-05-31,6.48,6.74,6.12,6.24,6.24,3243318,0.0,1.0,CRON
2018-05-30,6.05,6.41,5.95,6.38,6.38,2758070,0.0,1.0,CRON
2018-05-29,6.0,6.12,5.88,6.02,6.02,1572055,0.0,1.0,CRON
2018-05-25,6.13,6.179,5.9,6.01,6.01,1895025,0.0,1.0,CRON
2018-05-24,6.28,6.28,6.05,6.13,6.13,1609203,0.0,1.0,CRON
2018-05-23,6.24,6.3,6.15,6.21,6.21,1561668,0.0,1.0,CRON
2018-05-22,6.62,6.64,6.16,6.24,6.24,3414757,0.0,1.0,CRON
2018-05-21,6.29,6.68,6.26,6.57,6.57,3754377,0.0,1.0,CRON
2018-05-18,5.77,6.33,5.77,6.23,6.23,3616848,0.0,1.0,CRON
2018-05-17,6.04,6.14,5.76,5.8,5.8,2382995,0.0,1.0,CRON
2018-05-16,6.3,6.34,6.01,6.04,6.04,1835640,0.0,1.0,CRON
2018-05-15,6.69,6.75,6.06,6.27,6.27,4269708,0.0,1.0,CRON
2018-05-14,6.26,6.85,6.25,6.56,6.56,6234709,0.0,1.0,CRON
2018-05-11,5.69,6.25,5.64,6.12,6.12,3350610,0.0,1.0,CRON
2018-05-10,5.61,5.6399,5.52,5.6,5.6,944706,0.0,1.0,CRON
2018-05-09,5.68,5.74,5.5,5.52,5.52,1723300,0.0,1.0,CRON
2018-05-08,5.61,5.74,5.5,5.54,5.54,1410391,0.0,1.0,CRON
2018-05-07,5.88,5.97,5.58,5.67,5.67,2163610,0.0,1.0,CRON
2018-05-04,5.89,6.0,5.855,5.88,5.88,1343338,0.0,1.0,CRON
2018-05-03,5.83,6.04,5.79,5.87,5.87,1847320,0.0,1.0,CRON
2018-05-02,6.12,6.1791,5.75,5.81,5.81,2924969,0.0,1.0,CRON
2018-05-01,6.5,6.6,6.1,6.22,6.22,3128290,0.0,1.0,CRON
2018-04-30,7.0,7.13,6.87,6.91,6.91,1802504,0.0,1.0,CRON
2018-04-27,7.03,7.09,6.75,6.8,6.8,1135619,0.0,1.0,CRON
2018-04-26,6.89,7.0399,6.6601,6.92,6.92,978952,0.0,1.0,CRON
2018-04-25,7.01,7.14,6.8,6.88,6.88,996025,0.0,1.0,CRON
2018-04-24,7.0,7.29,6.78,7.0,7.0,1295672,0.0,1.0,CRON
2018-04-23,7.33,7.39,6.99,7.02,7.02,1874476,0.0,1.0,CRON
2018-04-20,7.52,7.66,7.25,7.37,7.37,2034962,0.0,1.0,CRON
2018-04-19,7.3,7.52,7.18,7.41,7.41,1809794,0.0,1.0,CRON
2018-04-18,7.44,7.52,7.17,7.33,7.33,1565077,0.0,1.0,CRON
2018-04-17,7.8,7.94,7.3,7.44,7.44,2667450,0.0,1.0,CRON
2018-04-16,7.5,7.8,7.2,7.73,7.73,4895438,0.0,1.0,CRON
2018-04-13,6.81,7.45,6.77,7.12,7.12,5360193,0.0,1.0,CRON
